gap,date,break_hour,break_time,broken_level,broken_side,contract,direction,extension_pct,extension_pts,first_break_time,gap_minutes,held_all_day,ib1_first_break_side,ib1_first_break_time,ib1_outcome,ib1_range,ib2_break_time,ib2_first_break_side,ib2_outcome,ib2_range,min_distance_pct,min_distance_pts,ratio,second_break_time,side,unbroken_level
1,2024-12-30,,,21416.0,,,,95.1,155.0,,,,,,BOTH,,,,,163.0,,,,,HIGH,
1,2024-12-31,,,21333.5,,,,97.7,151.5,,,,,,L_ONLY,,,,,155.0,,,,,LOW,
1,2025-01-02,,,21166.5,,,,65.9,182.75,,,,,,L_ONLY,,,,,277.5,,,,,LOW,
1,2025-01-03,,,21440.75,,,,66.1,118.5,,,,,,H_ONLY,,,,,179.25,,,,,HIGH,
1,2025-01-07,,,21525.25,,,,87.5,245.75,,,,,,BOTH,,,,,280.75,,,,,LOW,
1,2025-01-13,,,20855.5,,,,71.0,109.0,,,,,,BOTH,,,,,153.5,,,,,HIGH,
1,2025-01-14,,,20966.25,,,,117.9,192.75,,,,,,L_ONLY,,,,,163.5,,,,,LOW,
1,2025-01-15,,,21408.0,,,,20.2,44.75,,,,,,H_ONLY,,,,,221.25,,,,,HIGH,
1,2025-01-16,,,21336.25,,,,57.3,92.75,,,,,,L_ONLY,,,,,161.75,,,,,LOW,
1,2025-01-17,,,21653.75,,,,10.6,18.25,,,,,,NEITHER,,,,,172.5,,,,,HIGH,
1,2025-01-20,,,21677.0,,,,56.0,57.0,,,,,,BOTH,,,,,101.75,,,,,LOW,
1,2025-01-21,,,21718.25,,,,27.9,53.75,,,,,,BOTH,,,,,192.5,,,,,HIGH,
1,2025-01-22,,,22037.0,,,,42.0,56.5,,,,,,H_ONLY,,,,,134.5,,,,,HIGH,
1,2025-01-23,,,21918.0,,,,241.8,125.75,,,,,,BOTH,,,,,52.0,,,,,HIGH,
1,2025-01-24,,,21987.25,,,,157.4,143.25,,,,,,BOTH,,,,,91.0,,,,,LOW,
1,2025-01-28,,,21481.75,,,,44.8,144.25,,,,,,BOTH,,,,,322.25,,,,,HIGH,
1,2025-02-03,,,21362.5,,,,63.1,157.25,,,,,,BOTH,,,,,249.25,,,,,HIGH,
1,2025-02-04,,,21663.5,,,,11.8,30.5,,,,,,BOTH,,,,,258.25,,,,,HIGH,
1,2025-02-05,,,21613.75,,,,137.7,155.25,,,,,,BOTH,,,,,112.75,,,,,HIGH,
1,2025-02-07,,,21686.0,,,,47.3,133.25,,,,,,BOTH,,,,,282.0,,,,,LOW,
1,2025-02-10,,,21873.5,,,,15.8,20.5,,,,,,BOTH,,,,,129.5,,,,,HIGH,
1,2025-02-11,,,21845.25,,,,18.2,26.25,,,,,,H_ONLY,,,,,144.5,,,,,HIGH,
1,2025-02-12,,,21739.5,,,,49.0,99.5,,,,,,H_ONLY,,,,,203.25,,,,,HIGH,
1,2025-02-13,,,21996.5,,,,78.8,127.5,,,,,,H_ONLY,,,,,161.75,,,,,HIGH,
1,2025-02-14,,,22160.0,,,,92.9,65.0,,,,,,H_ONLY,,,,,70.0,,,,,HIGH,
1,2025-02-19,,,22221.5,,,,75.6,78.25,,,,,,BOTH,,,,,103.5,,,,,HIGH,
1,2025-02-21,,,21992.25,,,,168.5,329.75,,,,,,L_ONLY,,,,,195.75,,,,,LOW,
1,2025-02-24,,,21436.25,,,,7.5,27.5,,,,,,L_ONLY,,,,,365.5,,,,,LOW,
1,2025-02-25,,,21028.25,,,,10.4,38.25,,,,,,L_ONLY,,,,,369.25,,,,,LOW,
1,2025-02-27,,,20896.25,,,,61.6,298.5,,,,,,BOTH,,,,,484.75,,,,,LOW,
1,2025-02-28,,,20758.5,,,,62.3,185.75,,,,,,BOTH,,,,,298.0,,,,,HIGH,
1,2025-03-03,,,20760.0,,,,122.8,443.25,,,,,,BOTH,,,,,361.0,,,,,LOW,
1,2025-03-04,,,20430.0,,,,85.3,302.5,,,,,,BOTH,,,,,354.75,,,,,HIGH,
1,2025-03-10,,,19654.25,,,,152.6,382.0,,,,,,L_ONLY,,,,,250.25,,,,,LOW,
