entry_bar,exit_bar,direction,entry_price,target_price,stop_price,target_offset,stop_offset,exit_type,pnl_points,pnl_dollar,close_at_exit,high_at_exit,low_at_exit,entry_date,entry_time,exit_date,exit_time,mean,stddev,innerTop,innerBot,outerTop,outerBot
27149,27183,long,24869.75,24925.1584,24842.0458,55.4084,27.7042,stop,-27.7042,-554.08,24837.5,24847.5,24837.5,10/10/2025,11:21:55.734000,10/10/2025,11:24:07.353000,24875.12,13.0193,24888.1393,24862.1007,24901.1587,24849.0813
27186,27190,long,24855.5,24883.8275,24841.3362,28.3275,14.1638,stop,-14.1638,-283.28,24840.0,24853.75,24838.75,10/10/2025,11:24:16.464000,10/10/2025,11:24:34.489000,24870.505,15.1048,24885.6098,24855.4002,24900.7145,24840.2955
27198,27201,long,24847.5,24886.8158,24827.8421,39.3158,19.6579,stop,-19.6579,-393.16,24817.75,24836.75,24815.75,10/10/2025,11:25:00.918000,10/10/2025,11:25:10.766003,24859.11,20.8198,24879.9298,24838.2902,24900.7495,24817.4705
27204,27229,long,24819.75,24865.8947,24796.6777,46.1447,23.0723,reversal,37.25,745.0,24857.0,24857.5,24840.0,10/10/2025,11:25:21.703001,10/10/2025,11:27:06.049001,24832.405,15.2713,24847.6763,24817.1337,24862.9476,24801.8624
27229,27233,short,24857.0,24826.4574,24872.2713,30.5426,15.2713,stop,-15.2713,-305.43,24872.5,24872.5,24865.75,10/10/2025,11:27:06.049001,10/10/2025,11:27:21.098001,24833.075,16.1624,24849.2374,24816.9126,24865.3998,24800.7502
27243,27258,short,24872.0,24819.6856,24898.1572,52.3144,26.1572,target,52.3144,1046.29,24817.25,24831.0,24814.25,10/10/2025,11:27:57.609000,10/10/2025,11:29:03.347000,24850.275,25.5735,24875.8485,24824.7015,24901.4221,24799.1279
27258,27274,long,24817.25,24868.3971,24791.6765,51.1471,25.5735,stop,-25.5735,-511.47,24790.0,24804.75,24788.0,10/10/2025,11:29:03.347000,10/10/2025,11:30:03.407000,24849.375,26.3757,24875.7507,24822.9993,24902.1263,24796.6237
27277,27285,long,24791.0,24850.0694,24761.4653,59.0694,29.5347,stop,-29.5347,-590.69,24753.25,24763.25,24753.25,10/10/2025,11:30:06.794001,10/10/2025,11:30:26.337000,24832.775,38.3624,24871.1374,24794.4126,24909.4998,24756.0502
27286,27322,long,24763.5,24841.8174,24724.3413,78.3174,39.1587,stop,-39.1587,-783.17,24721.0,24734.0,24721.0,10/10/2025,11:30:28.502000,10/10/2025,11:32:21.740001,24763.795,18.2985,24782.0935,24745.4965,24800.392,24727.198
27335,27353,long,24712.25,24762.7252,24687.0124,50.4752,25.2376,stop,-25.2376,-504.75,24683.25,24691.75,24682.25,10/10/2025,11:33:04.241000,10/10/2025,11:34:10.783001,24729.23,26.6966,24755.9266,24702.5334,24782.6231,24675.8369
27353,27367,long,24683.25,24736.6431,24656.5534,53.3931,26.6966,reversal,38.25,765.0,24721.5,24730.75,24718.75,10/10/2025,11:34:10.783001,10/10/2025,11:34:57.088000,24711.165,18.2905,24729.4555,24692.8745,24747.7461,24674.5839
27367,27368,short,24721.5,24684.9189,24739.7905,36.5811,18.2905,stop,-18.2905,-365.81,24742.25,24742.25,24720.75,10/10/2025,11:34:57.088000,10/10/2025,11:35:00.454000,24710.94,17.8318,24728.7718,24693.1082,24746.6036,24675.2764
27368,27372,short,24742.25,24706.5864,24760.0818,35.6636,17.8318,stop,-17.8318,-356.64,24759.75,24760.75,24749.25,10/10/2025,11:35:00.454000,10/10/2025,11:35:14.010000,24712.035,19.5638,24731.5988,24692.4712,24751.1626,24672.9074
27378,27402,short,24751.0,24701.9161,24775.542,49.0839,24.542,stop,-24.542,-490.84,24774.25,24776.5,24760.25,10/10/2025,11:35:39.535000,10/10/2025,11:37:23.773000,24738.825,29.605,24768.43,24709.22,24798.035,24679.615
27402,27419,short,24774.25,24715.04,24803.855,59.21,29.605,reversal,21.0,420.0,24753.25,24774.5,24747.25,10/10/2025,11:37:23.773000,10/10/2025,11:38:32.523001,24763.02,12.0325,24775.0525,24750.9875,24787.0851,24738.9549
27419,27420,long,24753.25,24777.3151,24741.2175,24.0651,12.0325,stop,-12.0325,-240.65,24745.5,24753.5,24738.0,10/10/2025,11:38:32.523001,10/10/2025,11:38:35.986001,24763.085,11.9285,24775.0135,24751.1565,24786.942,24739.228
27424,27433,long,24737.75,24764.1416,24724.5542,26.3916,13.1958,stop,-13.1958,-263.92,24723.5,24740.25,24723.5,10/10/2025,11:38:51.983005,10/10/2025,11:39:42.134000,24759.155,16.1774,24775.3324,24742.9776,24791.5099,24726.8001
27446,27450,long,24721.0,24778.565,24692.2175,57.565,28.7825,stop,-28.7825,-575.65,24701.25,24708.5,24690.5,10/10/2025,11:40:34.653004,10/10/2025,11:40:46.045028,24741.69,29.8621,24771.5521,24711.8279,24801.4142,24681.9658
27450,27464,long,24701.25,24760.9742,24671.3879,59.7242,29.8621,reversal,41.75,835.0,24743.0,24752.5,24740.0,10/10/2025,11:40:46.045028,10/10/2025,11:41:59.074002,24727.335,22.4378,24749.7728,24704.8972,24772.2107,24682.4593
27464,27469,short,24743.0,24698.1243,24765.4378,44.8757,22.4378,stop,-22.4378,-448.76,24768.75,24769.25,24750.75,10/10/2025,11:41:59.074002,10/10/2025,11:42:29.607000,24725.445,19.7083,24745.1533,24705.7367,24764.8617,24686.0283
27471,27472,short,24755.0,24714.1694,24775.4153,40.8306,20.4153,stop,-20.4153,-408.31,24775.75,24776.75,24753.75,10/10/2025,11:42:34.871001,10/10/2025,11:42:38.128000,24726.77,21.5159,24748.2859,24705.2541,24769.8017,24683.7383
27477,27492,short,24781.0,24727.4535,24807.7732,53.5465,26.7732,stop,-26.7732,-535.46,24804.5,24810.0,24804.0,10/10/2025,11:42:53.999020,10/10/2025,11:44:14.390005,24752.155,35.2364,24787.3914,24716.9186,24822.6278,24681.6822
27492,27499,short,24804.5,24734.0272,24839.7364,70.4728,35.2364,stop,-35.2364,-704.73,24831.5,24841.5,24831.0,10/10/2025,11:44:14.390005,10/10/2025,11:44:35.549000,24768.555,37.4084,24805.9634,24731.1466,24843.3718,24693.7382
27499,27508,short,24831.5,24756.6832,24868.9084,74.8168,37.4084,stop,-37.4084,-748.17,24870.25,24870.25,24854.0,10/10/2025,11:44:35.549000,10/10/2025,11:45:00.675000,24793.805,38.0147,24831.8197,24755.7903,24869.8345,24717.7755
27511,27542,short,24872.0,24792.3801,24911.8099,79.6199,39.8099,reversal,31.75,635.0,24840.25,24852.25,24837.5,10/10/2025,11:45:09.287003,10/10/2025,11:47:07.787014,24863.76,21.2176,24884.9776,24842.5424,24906.1951,24821.3249
27542,27552,long,24840.25,24882.6851,24819.0324,42.4351,21.2176,stop,-21.2176,-424.35,24816.75,24828.0,24811.5,10/10/2025,11:47:07.787014,10/10/2025,11:48:00.790000,24865.255,18.9197,24884.1747,24846.3353,24903.0945,24827.4155
27557,27585,long,24825.5,24871.985,24802.2575,46.485,23.2425,reversal,33.25,665.0,24858.75,24860.0,24844.25,10/10/2025,11:48:24.315000,10/10/2025,11:50:49.507004,24842.8,14.2837,24857.0837,24828.5163,24871.3675,24814.2325
