block_num,block_class,trades,wins,win_rate,total_pnl,avg_std100,avg_range_10,avg_band_width,avg_abs_slope_10,avg_abs_slope_20,avg_band_width_change,avg_mean_slope_10
32.0,MEDIUM,20,9,45.0,-803.2199999999998,21.61717645,12.26375,32.4257647,0.249674999999952,0.2524749999999767,0.20901739182225124,-0.13016250000000582
33.0,MEDIUM,20,9,45.0,327.93999999999994,21.287571449999998,13.12,31.931357050000003,0.32514999999999417,0.3295749999999771,-1.705160545430072,-0.19774999999994178
34.0,MEDIUM,20,10,50.0,1794.06,20.1793175,10.352500000000001,30.2689763,0.2690062500000022,0.22776562500000183,-0.2146682947089092,0.019781250000032745
35.0,LOW,20,7,35.0,-722.73,18.059567050000002,9.283750000000001,27.08935045,0.3185249999999905,0.31685312499997964,-1.7688115309515902,-0.08808750000001964
36.0,MEDIUM,20,11,55.0,935.81,14.427130349999999,8.19375,21.640695450000003,0.2602437499999905,0.27582499999998616,-0.6412048099582743,-0.012518749999999268
37.0,LOW,20,7,35.0,-1548.96,15.790283800000001,7.16625,23.6854257,0.2772812499999418,0.299446874999976,-1.5740286678844622,-0.07921875
38.0,LOW,20,6,30.0,-1878.78,18.68201225,8.627500000000001,28.02301825,0.31228125000001455,0.28703125000000906,-0.5568605774570046,0.1599312500000087
39.0,MEDIUM,20,10,50.0,362.69999999999993,12.27907635,7.938750000000001,18.41861455,0.13833749999999784,0.14943437500001894,-0.34332611638785276,-0.03356250000006185
40.0,LOW,20,7,35.0,-1625.14,16.395227249999998,9.14125,24.5928409,0.2367062499999702,0.23181249999997816,-0.9663128932760527,0.016806249999954163
41.0,HIGH,20,12,60.0,3901.87,17.162218799999998,7.99,25.743328150000004,0.1814812499999971,0.148228124999996,-0.3715069409683919,0.007331249999988357
42.0,LOW,20,7,35.0,-1193.54,16.6128623,9.12125,24.9192934,0.28288125000000947,0.27776875000001383,-1.7279089478689915,-0.04111875000004147
43.0,MEDIUM,20,8,40.0,922.31,21.38321685,11.466249999999999,32.074825149999995,0.3689812499999607,0.36490312499996436,-1.562556023121132,-0.05423124999997525
44.0,MEDIUM,20,9,45.0,184.85999999999996,19.4615488,11.79375,29.1923231,0.3089749999999731,0.31996562500002257,-0.38307394409783,-0.14917500000001382
45.0,MEDIUM,20,10,50.0,2733.69,24.95294685,11.817499999999999,37.4294203,0.40143124999998686,0.41551562499999817,-2.2787291864447288,0.06845625000005384
46.0,MEDIUM,20,9,45.0,856.78,20.5507036,10.615,30.8260556,0.18181250000001453,0.24976250000004258,-0.4277408122099603,-0.08457500000004074
47.0,LOW,20,7,35.0,-1434.1,18.5160449,8.7225,27.774067300000002,0.2711375000000408,0.25435000000001307,-0.5274897737181229,0.11950000000000727
48.0,MEDIUM,20,10,50.0,262.85,8.332628249999999,7.15375,12.4989425,0.11987500000004729,0.1409437500000058,-0.18206007544924807,0.08011249999997745
