block_num,trade_start,trade_end,wins,losses,win_rate,total_pnl,class,std100,avg_range_10,avg_duration_10,band_width,range_bw_ratio,ema_position,price_position,stddev_ratio,hour
88,1741,1760,7,13,35.0,-1461.26,LOW,25.062204,9.7425,11.235,37.593306,0.275829,0.423689,0.367279,0.418362,11.7
89,1761,1780,8,12,40.0,-615.41,MEDIUM,20.488874,10.16375,14.58,30.733311,0.371873,0.558883,0.516713,0.347842,11.2
90,1781,1800,7,13,35.0,-1226.24,LOW,22.967773,10.6125,8.45,34.45166,0.365587,0.405183,0.417414,0.35042,10.45
91,1801,1820,10,10,50.0,936.3,MEDIUM,25.957087,14.36375,7.985,38.93563,0.398607,0.370524,0.509357,0.52161,10.1
92,1821,1840,11,9,55.0,2437.35,MEDIUM,15.804848,13.4025,11.38,23.707272,0.570194,0.427024,0.355085,0.18332,11.2
93,1841,1860,9,11,45.0,-712.65,MEDIUM,19.49815,13.785,15.905,29.247225,0.560689,0.438823,0.63469,0.285448,12.9
94,1861,1880,11,9,55.0,3101.76,MEDIUM,22.890056,13.025,16.255,34.335084,0.396848,0.38232,0.266728,0.450967,13.4
95,1881,1900,10,10,50.0,778.35,MEDIUM,13.184991,9.62375,8.295,19.777487,0.510194,0.412184,0.438867,0.142756,10.15
96,1901,1920,12,8,60.0,2737.3,HIGH,16.546025,12.12125,12.28,24.819038,0.524709,0.454219,0.480725,0.258708,11.25
97,1921,1940,12,8,60.0,3261.22,HIGH,22.177212,12.25125,14.245,33.265817,0.45148,0.51201,0.546668,0.450457,12.5
98,1941,1960,11,9,55.0,2695.6,MEDIUM,23.039718,12.50875,13.37,34.559577,0.370508,0.479007,0.559576,0.546986,12.35
99,1961,1980,5,15,25.0,-2509.75,LOW,18.793418,12.17375,7.05,28.190128,0.436421,0.574782,0.456763,0.336649,9.8
100,1981,2000,12,8,60.0,3705.72,HIGH,26.993455,14.9775,5.42,40.490182,0.393549,0.547959,0.5399,0.234008,11.45
101,2001,2020,10,10,50.0,3508.89,MEDIUM,29.755731,16.135,8.875,44.633596,0.398699,0.437829,0.364044,0.373532,12.8
102,2021,2040,12,8,60.0,5195.06,HIGH,26.436724,15.135,10.855,39.655085,0.385324,0.481636,0.487861,0.328007,12.45
103,2041,2060,12,8,60.0,7641.71,HIGH,34.353522,15.8,5.565,51.530283,0.325866,0.452898,0.334977,0.708443,9.3
104,2061,2080,5,15,25.0,-4982.98,LOW,28.349052,16.0325,9.08,42.523578,0.406128,0.484541,0.484376,0.444863,10.75
105,2081,2100,10,10,50.0,1628.21,MEDIUM,22.667665,14.22375,17.2,34.001498,0.453706,0.504933,0.593949,0.255331,12.45
106,2101,2120,12,8,60.0,5162.08,HIGH,24.275558,12.35,13.02,36.413337,0.379199,0.428236,0.293816,0.282683,11.15
107,2121,2140,10,10,50.0,2473.99,MEDIUM,19.386185,11.945,11.52,29.079278,0.430122,0.485307,0.689933,0.271729,10.05
108,2141,2160,8,12,40.0,-327.82,MEDIUM,10.345776,7.09375,22.65,15.518664,0.480418,0.484068,0.500767,0.212453,12.25
109,2161,2180,8,12,40.0,-514.47,MEDIUM,18.786128,8.54375,11.8,28.179192,0.368739,0.363209,0.36605,0.444621,11.05
110,2181,2200,16,4,80.0,6852.46,HIGH,21.863856,13.74125,10.345,32.795784,0.448392,0.445859,0.427915,0.439662,10.2
111,2201,2220,5,15,25.0,-3211.48,LOW,16.821209,8.21125,17.29,25.231814,0.357727,0.598628,0.63373,0.339272,11.6
112,2221,2240,8,12,40.0,-88.31,MEDIUM,16.538404,9.80375,12.285,24.807605,0.402683,0.489943,0.547461,0.50102,9.85
113,2241,2260,12,8,60.0,2413.11,HIGH,13.332584,6.98,24.71,19.998876,0.363383,0.532406,0.500178,0.515688,13.2
114,2261,2280,8,12,40.0,-497.43,MEDIUM,16.005234,8.1475,51.645,24.007851,0.362571,0.593944,0.686703,0.596495,11.0
115,2281,2300,7,13,35.0,-1748.21,LOW,15.607169,9.0275,11.265,23.410753,0.431413,0.510138,0.620428,0.408801,9.8
116,2301,2320,8,12,40.0,-748.48,MEDIUM,12.819455,8.67875,9.745,19.229182,0.500354,0.473716,0.428887,0.267307,9.6
117,2321,2340,9,11,45.0,398.94,MEDIUM,13.069041,7.885,11.08,19.603562,0.458652,0.474522,0.583691,0.271869,9.85
118,2341,2360,6,14,30.0,-716.25,LOW,16.235443,7.86625,19.74,24.353165,0.376239,0.598219,0.554561,0.354386,12.5
119,2361,2380,10,10,50.0,1695.97,MEDIUM,16.704821,13.51875,9.765,25.057231,0.562419,0.406094,0.319836,0.247485,9.2
120,2381,2400,8,12,40.0,-85.54,MEDIUM,16.050008,8.70875,14.18,24.075013,0.383894,0.456516,0.482974,0.500943,10.65
121,2401,2420,8,12,40.0,1410.44,MEDIUM,15.441177,7.33125,21.03,23.161765,0.394622,0.555501,0.582623,0.511637,11.55
122,2421,2440,9,11,45.0,-741.6,MEDIUM,14.436265,7.255,15.29,21.654397,0.380963,0.502755,0.55239,0.426053,10.75
123,2441,2460,9,11,45.0,-434.32,MEDIUM,18.113741,6.67375,19.11,27.170611,0.302537,0.497151,0.444674,0.459446,12.6
124,2461,2480,6,14,30.0,-1231.55,LOW,13.672532,6.865,20.175,20.508799,0.361465,0.449274,0.383197,0.370158,11.6
125,2481,2500,8,12,40.0,52.68,MEDIUM,12.310379,6.785,20.14,18.465568,0.384333,0.521445,0.549297,0.418625,11.45
126,2501,2520,10,10,50.0,392.71,MEDIUM,10.284271,6.60875,21.22,15.426407,0.44316,0.524281,0.516955,0.259157,11.45
127,2521,2540,10,10,50.0,-490.58,MEDIUM,10.944706,6.7075,26.21,16.41706,0.462547,0.429186,0.542967,0.349615,13.2
128,2541,2560,13,7,65.0,2541.76,HIGH,11.091143,7.53125,15.25,16.636714,0.461982,0.503309,0.492085,0.334345,9.7
129,2561,2580,10,10,50.0,703.33,MEDIUM,8.916093,4.7,23.935,13.374139,0.369485,0.501404,0.628112,0.419278,12.35
130,2581,2600,11,9,55.0,-111.91,MEDIUM,11.732198,6.2525,26.955,17.598297,0.411417,0.467795,0.426511,0.535105,11.9
131,2601,2620,9,11,45.0,875.65,MEDIUM,15.150012,6.7525,26.735,22.725018,0.323498,0.49649,0.548613,0.484539,11.65
132,2621,2640,12,8,60.0,20.09,HIGH,22.178256,10.07875,12.925,33.267385,0.391978,0.489798,0.47663,0.511644,14.45
133,2641,2660,4,16,20.0,-3806.63,LOW,17.839934,8.5225,7.055,26.7599,0.344754,0.401308,0.288622,0.282048,9.25
134,2661,2680,8,12,40.0,1.58,MEDIUM,20.655229,9.965,9.625,30.982843,0.340344,0.52343,0.479915,0.32662,10.85
