lookback,inner_mult,outer_mult,martingale,total_trades,total_pnl,up_days,down_days,flat_days,trading_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_maxdd_ratio,largest_single_loss,ev_per_trade,profit_factor,trades_per_day
40,0.75,1.75,m2.0_max2,10206,8413.9,30,30,0,60,50.0,4257.91,-3977.45,-11458.77,28535.77,0.2949,-1982.46,0.82,1.0041,170.1
50,1.0,2.5,none,5848,7112.79,30,30,0,60,50.0,3309.57,-3072.47,-11426.6,25526.51,0.2786,-1657.27,1.22,1.0065,97.47
50,1.25,3.0,m1.5_max2,4568,8804.04,30,30,0,60,50.0,5115.92,-4822.45,-16577.1,38882.94,0.2264,-2702.02,1.93,1.0068,76.13
40,0.75,3.0,m2.0_max2,7724,5109.71,30,30,0,60,50.0,4509.82,-4339.49,-12192.27,31662.84,0.1614,-3985.46,0.66,1.003,128.73
75,1.25,1.75,m2.0_max2,6355,68577.77,29,31,0,60,48.33,6213.69,-3600.62,-12617.13,26427.65,2.5949,-1497.51,10.79,1.0463,105.92
100,1.0,1.25,m1.5_max2,6281,32398.25,29,31,0,60,48.33,3826.74,-2534.75,-10356.48,13590.71,2.3839,-787.36,5.16,1.0378,104.68
100,1.0,1.25,m2.0_max2,6281,34830.33,29,31,0,60,48.33,4036.92,-2652.91,-10930.35,14770.48,2.3581,-787.36,5.55,1.038,104.68
20,1.0,1.75,m2.0_max2,16661,52962.5,29,31,0,60,48.33,6235.94,-4125.15,-20387.6,35172.87,1.5058,-1205.09,3.18,1.0225,277.68
50,1.25,2.5,m1.5_max2,5619,47240.45,29,31,0,60,48.33,5997.19,-4086.39,-17425.52,37710.9,1.2527,-2700.52,8.41,1.0318,93.65
50,1.25,2.5,none,5619,29467.27,29,31,0,60,48.33,4000.37,-2791.72,-12918.85,28909.73,1.0193,-1350.26,5.24,1.0281,93.65
30,1.0,1.75,m1.5_max2,12326,22931.39,29,31,0,60,48.33,4045.96,-3045.21,-9367.63,26012.57,0.8816,-1368.39,1.86,1.0124,205.43
50,1.0,3.0,m2.0_max2,5019,17372.03,29,31,0,60,48.33,5760.74,-4828.69,-16878.62,42994.17,0.4041,-3720.1,3.46,1.0114,83.65
100,0.5,1.25,m1.5_max2,6404,10067.49,29,31,0,60,48.33,3154.36,-2626.09,-14013.13,25712.2,0.3915,-2362.07,1.57,1.0089,106.73
50,1.0,2.5,m1.5_max2,5848,5378.44,29,31,0,60,48.33,4683.58,-4207.92,-13975.16,28837.13,0.1865,-3314.55,0.92,1.0037,97.47
50,0.75,1.5,m1.5_max2,9000,6072.33,29,31,0,60,48.33,3974.22,-3521.94,-15343.11,37311.39,0.1627,-1677.72,0.67,1.004,150.0
50,0.75,3.0,m1.5_max2,6238,2070.16,29,31,0,60,48.33,4251.65,-3910.57,-14805.97,30271.98,0.0684,-3641.72,0.33,1.0016,103.97
50,1.0,3.0,m1.5_max2,5019,1580.64,29,31,0,60,48.33,4453.19,-4114.9,-14142.41,32582.45,0.0485,-3315.48,0.31,1.0012,83.65
100,1.0,1.25,none,6281,17913.86,28,32,0,60,46.67,2082.34,-1262.24,-4902.13,6888.1,2.6007,-393.68,2.85,1.0366,104.68
75,1.25,1.75,none,6355,32792.22,28,32,0,60,46.67,3224.39,-1796.59,-6488.3,14557.76,2.2526,-748.76,5.16,1.0403,105.92
30,1.0,1.75,m2.0_max2,12326,19094.33,28,32,0,60,46.67,4726.48,-3538.97,-11975.57,31738.13,0.6016,-1368.39,1.55,1.0089,205.43
30,0.75,1.5,m2.0_max2,13115,134.56,28,32,0,60,46.67,3858.2,-3371.72,-12154.43,28537.68,0.0047,-1384.75,0.01,1.0001,218.58
30,0.5,1.5,none,14779,2053.47,27,33,0,60,45.0,2777.07,-2209.92,-8988.86,13816.52,0.1486,-912.26,0.14,1.0016,246.32
30,1.0,1.75,none,12326,1474.98,27,33,0,60,45.0,2541.87,-2035.01,-6977.88,18616.15,0.0792,-684.19,0.12,1.0012,205.43
30,0.5,1.5,m1.5_max2,14779,5172.0,26,34,0,60,43.33,3915.75,-2842.28,-12782.21,19664.38,0.263,-1634.28,0.35,1.0032,246.32
30,0.5,1.5,m2.0_max2,14779,5914.99,25,35,0,60,41.67,4978.33,-3386.95,-15410.28,28539.99,0.2073,-1707.07,0.4,1.003,246.32
