cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
3365,2025-W46,GOOD,2025-11-12 11:20:59,2025-11-12 11:21:37,LONG,25536.25,25546.5,REVERSAL,0,1,41.0,201.5,732,41.0,20.0,4
3366,2025-W46,GOOD,2025-11-12 11:22:53,2025-11-12 11:24:16,SHORT,25548.25,25538.25,REVERSAL,0,1,40.0,196.5,960,40.0,11.0,4
3367,2025-W46,GOOD,2025-11-12 11:28:01,2025-11-12 11:29:51,SHORT,25562.75,25582.75,HARD_STOP,1,2,-120.0,-607.0,2698,37.0,60.0,11
3368,2025-W46,GOOD,2025-11-12 11:33:35,2025-11-12 11:34:22,SHORT,25590.5,25580.5,REVERSAL,0,1,40.0,196.5,1282,40.0,18.0,6
3369,2025-W46,GOOD,2025-11-12 11:34:39,2025-11-12 11:37:23,SHORT,25579.5,25599.5,HARD_STOP,1,2,-120.0,-607.0,2817,29.0,60.0,12
3370,2025-W46,GOOD,2025-11-12 11:43:00,2025-11-12 11:45:21,LONG,25564.0,25564.0,REVERSAL,1,2,40.0,193.0,2113,20.0,49.0,9
3371,2025-W46,GOOD,2025-11-12 11:47:21,2025-11-12 11:48:15,LONG,25524.0,25504.0,HARD_STOP,1,2,-120.0,-607.0,1770,20.0,60.0,8
3372,2025-W46,GOOD,2025-11-12 11:50:20,2025-11-12 11:52:35,SHORT,25524.5,25544.75,HARD_STOP,1,2,-122.0,-617.0,3819,36.0,61.0,16
3373,2025-W46,GOOD,2025-11-12 11:54:02,2025-11-12 11:54:39,SHORT,25531.5,25521.5,REVERSAL,0,1,40.0,196.5,477,40.0,5.0,2
3374,2025-W46,GOOD,2025-11-12 11:55:05,2025-11-12 11:56:43,SHORT,25524.5,25544.5,HARD_STOP,1,2,-120.0,-607.0,1911,24.0,60.0,9
