time,direction,entry_price,exit_type,pnl,consec_long,consec_short,long_blocked,short_blocked
14:03:09,long,24667.75,STOP,-480.6,3,0,1,0
14:11:13,short,24669.75,REVERSAL,196.0,0,0,0,0
14:13:51,long,24659.75,REVERSAL,391.0,0,0,0,0
14:14:36,short,24679.5,STOP,-239.58,0,1,0,0
14:18:36,short,24682.25,TARGET,415.96,0,0,0,0
14:19:58,long,24660.25,TARGET,416.3,0,0,0,0
14:20:44,short,24690.75,STOP,-285.53,0,1,0,0
14:22:25,short,24692.25,STOP,-336.17,0,2,0,0
14:25:20,short,24697.75,STOP,-375.41,0,3,0,1
14:34:35,long,24669.5,STOP,-392.34,1,0,0,0
14:44:37,long,24651.75,STOP,-387.88,2,0,0,0
14:48:05,long,24647.5,STOP,-481.15,3,0,1,0
15:02:37,short,24632.0,TARGET,714.46,0,0,0,0
15:09:18,short,24622.25,TARGET,531.3,0,0,0,0
15:11:45,long,24593.25,STOP,-289.47,1,0,0,0
15:22:04,long,24574.75,STOP,-361.98,2,0,0,0
15:27:18,long,24557.5,STOP,-417.4,3,0,1,0
15:44:47,short,24511.75,STOP,-537.53,0,1,0,0
15:50:11,short,24538.5,TARGET,724.98,0,0,0,0
