date,n_trades,wins,win_rate,total_pnl,std100,avg_range_10,avg_duration_10,band_width,range_bw_ratio,ema_position,price_position,stddev_ratio,hour
12/11/2025,10,1,10.0,-2540.9,15.8693,8.73,7.73,23.80395,0.394731,0.371184,0.233809,0.20555,9.1
12/12/2025,35,12,34.3,-2612.82,21.311892,9.212143,9.471429,31.967838,0.307321,0.475448,0.413946,0.369621,10.685714
12/2/2025,46,18,39.1,78.5,13.663231,7.799457,14.734783,20.494847,0.444818,0.477383,0.529489,0.292455,10.891304
12/3/2025,53,21,39.6,760.11,15.073179,9.990094,15.349057,22.609769,0.462941,0.500037,0.501742,0.350534,10.584906
12/4/2025,44,21,47.7,913.37,15.991664,7.351136,16.777273,23.987496,0.356011,0.473879,0.457069,0.497984,11.5
12/5/2025,33,12,36.4,-1031.92,15.240284,6.700758,20.957576,22.860427,0.344645,0.505473,0.46344,0.419638,11.848485
12/8/2025,49,25,51.0,1454.51,10.839489,6.806122,21.981633,16.259233,0.447015,0.501279,0.535802,0.309002,11.877551
12/9/2025,53,30,56.6,2397.91,10.184898,6.025943,22.567925,15.277347,0.416423,0.463419,0.52049,0.419291,11.528302
9/22/2025,35,10,28.6,-1935.6,7.275692,3.87,20.46,10.913538,0.392694,0.585591,0.676964,0.227206,11.857143
9/23/2025,56,26,46.4,1400.79,8.372858,4.773214,14.564286,12.559287,0.393501,0.522632,0.498734,0.558107,11.285714
9/24/2025,49,19,38.8,-906.29,8.50029,5.041837,17.965306,12.750435,0.421679,0.47848,0.497778,0.313934,11.306122
9/25/2025,55,28,50.9,1509.17,11.995413,6.378636,12.001818,17.99312,0.405782,0.510309,0.501088,0.288666,11.145455
9/26/2025,51,22,43.1,98.56,13.007061,6.658333,18.880392,19.510591,0.399553,0.506206,0.544343,0.337365,11.627451
9/29/2025,34,13,38.2,-299.87,9.895477,5.039706,17.608824,14.843215,0.364339,0.527083,0.512073,0.32407,11.411765
9/30/2025,38,15,39.5,-252.65,14.357588,6.4625,15.807895,21.536382,0.325865,0.55492,0.588562,0.543339,11.105263
