cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,entry_signed_chop,entry_dchop,entry_d2chop,entry_signed_slope,entry_dr2,entry_dslope
9978,W50,MID,2025-12-11 10:52:53,2025-12-11 10:52:59,SHORT,25488.7500,25488.7500,25478.7500,REVERSAL,0,1,40.0000,200.0000,252,40.0000,4.0000,0.000000,-0.509804,-0.506334,0.000000,-0.923077,-6.500000
9979,W50,MID,2025-12-11 10:53:22,2025-12-11 10:54:36,SHORT,25492.0000,25497.0000,25492.0000,REVERSAL,1,2,40.0000,200.0000,1935,35.0000,40.0000,0.036697,-0.324414,-0.487249,0.500000,-0.715149,-4.375000
9980,W50,MID,2025-12-11 10:55:17,2025-12-11 10:55:54,SHORT,25504.7500,25509.7500,25524.7500,HARD_STOP,1,2,-120.0000,-600.0000,1130,27.0000,60.0000,-0.042553,-0.268558,-0.285551,-0.500000,-0.957529,-3.000000
9981,W50,MID,2025-12-11 10:56:22,2025-12-11 10:57:10,SHORT,25530.0000,25530.0000,25520.0000,REVERSAL,0,1,40.0000,200.0000,1096,40.0000,27.0000,-0.070423,-0.219051,-0.132054,-0.625000,-0.673266,-2.125000
9982,W50,MID,2025-12-11 10:58:55,2025-12-11 11:00:02,SHORT,25527.0000,25532.0000,25547.0000,HARD_STOP,1,2,-120.0000,-600.0000,1530,11.0000,60.0000,-0.028986,-0.152833,-0.094266,-0.250000,-0.815615,-1.500000
9983,W50,MID,2025-12-11 11:00:03,2025-12-11 11:00:15,SHORT,25547.5000,25547.5000,25537.2500,REVERSAL,0,1,41.0000,205.0000,1071,41.0000,30.0000,0.069767,-0.436643,-0.438921,1.500000,0.088867,-8.375000
9984,W50,MID,2025-12-11 11:00:41,2025-12-11 11:00:41,LONG,25508.5000,25508.5000,25521.0000,REVERSAL,0,1,50.0000,250.0000,43,50.0000,14.0000,-0.062893,-0.608982,-0.767095,-1.250000,-0.945571,-9.500000
9985,W50,MID,2025-12-11 11:00:41,2025-12-11 11:00:41,SHORT,25521.0000,25521.0000,25510.0000,REVERSAL,0,1,44.0000,220.0000,3,44.0000,0.0000,-0.062893,-0.608982,-0.767095,-1.250000,-0.945571,-9.500000
9986,W50,MID,2025-12-11 11:00:41,2025-12-11 11:00:42,LONG,25510.0000,25510.0000,25520.0000,REVERSAL,0,1,40.0000,200.0000,180,40.0000,9.0000,-0.062893,-0.608982,-0.767095,-1.250000,-0.945571,-9.500000
9987,W50,MID,2025-12-11 11:00:42,2025-12-11 11:02:00,SHORT,25520.0000,25525.0000,25540.0000,HARD_STOP,1,2,-120.0000,-600.0000,1789,18.0000,60.0000,-0.062893,-0.608982,-0.767095,-1.250000,-0.945571,-9.500000
9988,W50,MID,2025-12-11 11:03:02,2025-12-11 11:03:31,LONG,25530.5000,25530.5000,25540.5000,REVERSAL,0,1,40.0000,200.0000,337,40.0000,8.0000,0.050505,-0.096863,0.133546,0.625000,-0.373882,-1.125000
9989,W50,MID,2025-12-11 11:03:49,2025-12-11 11:04:44,SHORT,25550.7500,25555.8750,25550.7500,REVERSAL,1,2,41.0000,205.0000,1110,20.5000,41.0000,0.052174,-0.477741,-0.483065,0.750000,0.060909,-7.000000
9990,W50,MID,2025-12-11 11:06:01,2025-12-11 11:06:17,LONG,25520.2500,25520.2500,25530.2500,REVERSAL,0,1,40.0000,200.0000,431,40.0000,13.0000,0.067308,-0.076923,0.026553,0.875000,-0.571129,-1.000000
9991,W50,MID,2025-12-11 11:06:37,2025-12-11 11:07:22,LONG,25525.0000,25525.0000,25535.0000,REVERSAL,0,1,40.0000,200.0000,540,40.0000,11.0000,-0.085714,-0.204286,-0.034286,-1.125000,-0.603355,-2.500000
9992,W50,MID,2025-12-11 11:07:35,2025-12-11 11:09:00,LONG,25527.2500,25522.2500,25507.0000,HARD_STOP,1,2,-122.0000,-610.0000,1391,6.0000,61.0000,0.051282,-0.211876,-0.165034,0.750000,-0.413496,-3.000000
9993,W50,MID,2025-12-11 11:09:35,2025-12-11 11:10:01,LONG,25502.0000,25502.0000,25512.0000,REVERSAL,0,1,40.0000,200.0000,559,40.0000,18.0000,-0.009709,-0.240291,0.043042,-0.125000,-0.518954,-3.750000
9994,W50,MID,2025-12-11 11:10:08,2025-12-11 11:11:15,LONG,25504.0000,25504.0000,25514.0000,REVERSAL,0,1,40.0000,200.0000,1140,40.0000,38.0000,-0.084507,-0.320452,-0.654822,-1.500000,-0.900122,-4.625000
